ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1080424-163,-1.4883091842973493,-0.889610561704551,-1.6355888836012007,-0.46083728267856533
1080426-105,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080426-122,-1.1594962146023642,-0.27454361321075754,-1.1145716609048437,-2.201917535204424
1080426-140,-0.2995185252854244,-0.06608034806550546,0.7731782678170339,0.9939248628744696
1080426-173,0.5571080252472884,0.6594571696832721,1.4094688554675,1.1305219864613847
1090101-084,0.49200806543297776,-0.511885707103001,-1.2883859973197376,-0.10262443533409325
1090101-085,0.020642369077586004,-0.701766795778551,0.8199583876122172,-0.1882841927607517
1090101-094,0.6114968012433635,-0.8833854881159824,-0.7499892142526126,0.2808724003310193
1090102-071,-0.05504871151991843,-0.8001648078072959,-1.0766814906915092,-0.03642651905007083
1090102-074,0.755060782071769,0.7840731022642072,0.7011385637913222,0.6190148487739577
1090102-100,-2.2261202807412146,-1.3190703738351819,-1.128128678739685,-0.07180059752282333
1090103-057,0.8328855384526284,0.6754624178166588,1.4118444075713945,-0.0627171904845826
1090103-066,-1.5919678125354015,-1.6011001361122987,-1.428033887481723,-0.03736986526476083
1090103-078,1.1320749817948035,0.31856363530223586,-0.12356472650146386,0.4186612538429472
1090103-080,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1090104-056,0.19385487953393868,0.6098089254736925,1.358502552119132,-0.35547948427037096
1090104-063,0.31656020529280915,0.5404362704721096,-0.15616374276404238,-0.8972878497112176
1090104-072,0.2516459492815034,1.0251517642275259,0.021440909493080685,0.38550661533815433
1090105-061,-1.160905623747654,-0.05135792339356089,1.0379147951416405,1.2916496448530583
1090105-067,0.37917786494706357,-0.9858908574510707,0.5229620311236097,-0.9561304670268314
1090105-079,0.36945456620838646,0.506439138046123,0.1371728033196602,0.6252938141193871
1090105-095,-0.8242365240611754,-0.8018820315341316,-1.558470428850112,-0.310907649218119
1090106-076,0.5171273037966561,1.1033110845911738,1.2224071266620922,0.20229326579652465
1090106-081,-0.7075741369107356,-0.19824937525880285,0.7388400715784468,-1.5952171864845526
1090106-098,0.10792336992809452,0.3833068220749079,0.9005747034404432,0.8050354631987158
1090106-101,-0.6045614233756361,-0.3953381065036554,0.30806077226424844,-1.2792781801584632
1090107-062,-0.9143175048720046,-1.0247786367334195,-1.1371613040037707,0.5428511783430375
1090107-069,-1.1903129129599637,-1.0288676546769662,0.3232715803990555,0.42649321464324985
1090107-070,0.18116691115715342,1.1790109674414444,0.9949349640724101,0.16707092120112488
1090107-082,-0.25879921788844895,-0.07475852128008365,0.6529981774931392,1.4136816437183073
1090109-073,-0.8526632254409298,0.2873715327952062,-1.6571155728215288,1.111095392500394
1090109-087,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1090109-097,-0.6531384613760123,-1.5178799243093655,-1.5247793307255644,-1.6855657366154633
1090110-059,-0.6942842900417446,-0.06491003440749635,-1.371644619094717,-1.004309563977898
1090110-060,0.7354548677255006,0.27384923679457596,-1.5873852359295062,-0.1979888072925897
1090111-065,0.22916320596908193,0.1073356709190381,1.2531245125229318,2.1982536594961974
1090111-077,0.12309301263363663,-1.4750100025475106,-1.1584125463844106,0.7176836139996586
1090111-086,0.839613904922342,1.1921368271533195,-0.1338831406151294,1.304597252469485
1090111-092,-0.052013329498259986,0.5765067616157854,-0.8532584215601933,0.3519842643427194
1090112-075,0.8711304727973671,1.037302041032233,0.15873919646848456,-0.1980346761346491
1090112-090,0.2849617543712522,1.077481045232109,-0.2532817828168777,0.7270020722325525
1090112-096,0.6133489034490763,1.0755188868096381,1.459903757729592,0.9403659469142625
1090113-064,0.44796030075460475,0.5320138266168593,-0.6203760385536816,-0.6641948475600852
1090113-068,-0.448723333746422,-0.9048377202337005,-1.280525681817081,-0.3068982834919614
1090113-088,-0.9408184338260607,-0.9213117015598491,-1.6017856170794567,-0.5172154396359313
1090113-091,-0.02616350577223095,0.1424437065283587,-1.5429110809750113,-1.510268850499312
1090114-083,0.40590289780146166,0.024156269039272846,-0.22081898686592916,0.766051022683969
1090114-093,-0.599148103437564,-1.4218987225223079,-0.9050558829858288,-0.6414467904397834
1090115-058,0.38345367441111755,0.08638459591143381,1.4094908921266214,1.3880483894435947
1090115-089,0.6024640564005417,1.1074079588593606,0.38455514462942963,1.944167539975438
